class,acc_val,acc_v2,drop
655,0.9,0.8,0.09999999999999998
129,1.0,0.9,0.09999999999999998
125,1.0,0.9,0.09999999999999998
87,1.0,0.9,0.09999999999999998
879,1.0,0.9,0.09999999999999998
395,1.0,0.9,0.09999999999999998
886,1.0,0.9,0.09999999999999998
890,1.0,0.9,0.09999999999999998
97,1.0,0.9,0.09999999999999998
987,0.6,0.5,0.09999999999999998
537,1.0,0.9,0.09999999999999998
985,1.0,0.9,0.09999999999999998
771,0.9,0.8,0.09999999999999998
420,1.0,0.9,0.09999999999999998
248,0.7,0.6,0.09999999999999998
788,1.0,0.9,0.09999999999999998
787,0.9,0.8,0.09999999999999998
333,1.0,0.9,0.09999999999999998
279,1.0,0.9,0.09999999999999998
